temperature,max_tokens,top_k,top_p,runtime,cognitive_complexity,cyclomatic_complexity,code_generation_attempts,bug_insertion_attempts,similarity_score
0.04096,400,10,0.10,123,54.93376038144155,4.25,0.0,0.0,1.7654664323247895
0.04096,500,10,0.10,165,55.49880643727769,4.25,0.25,0.0,1.7725031884217242
0.04096,600,10,0.10,147,56.8598367116883,4.25,0.25,0.0,1.934702757327251
0.04096,700,10,0.10,332,55.45618961678282,4.25,1.75,0.0,1.691335438385042
0.04096,800,10,0.10,132,62.52435077695293,5.0,0.0,0.0,1.5925362398435787
0.04096,900,10,0.10,184,61.07999664703308,3.5,0.5,0.0,1.5202466617044652
0.04096,1000,10,0.10,180,56.676265038905285,3.75,0.5,0.0,1.628708071278826
0.065536,100,10,0.10,179,55.08642396260925,4.5,0.5,0.0,1.5993033537360652
0.065536,200,10,0.10,152,55.57876472228133,5.0,0.25,0.0,2.2630048040589816
0.065536,300,10,0.10,194,54.90002129810367,4.25,0.5,0.0,1.6195731966104674
0.065536,400,10,0.10,255,57.180795085425665,4.25,1.25,0.0,1.5989523820111091
0.065536,500,10,0.10,341,55.56264427556495,3.5,1.75,0.0,1.4065213353555288
0.065536,600,10,0.10,178,55.31107249909021,5.0,0.5,0.0,2.1336143708939157
0.065536,700,10,0.10,130,61.52191212288368,3.5,0.0,0.0,1.4817346239426172
0.065536,800,10,0.10,220,61.52191212288368,3.5,0.0,0.0,1.4817346239426172
0.065536,900,10,0.10,182,56.224699988048286,4.5,0.5,0.0,1.9280968872923077
0.065536,1000,10,0.10,144,55.942528900945725,4.75,0.25,0.0,2.2616869918699187
0.104858,100,10,0.10,148,61.2615644363368,3.5,0.0,0.0,1.494963651712061
0.104858,200,10,0.10,286,60.538076635950716,3.5,1.5,0.0,1.5892306361365431
0.104858,300,10,0.10,161,55.03683480333204,4.75,0.25,0.0,2.1178258293674372
0.104858,400,10,0.10,123,58.433216015383145,4.25,0.0,0.0,1.314093178160843
0.104858,500,10,0.10,187,56.43534268245409,4.0,0.5,0.0,1.6700141513721474
0.104858,600,10,0.10,155,63.62621578999334,2.75,0.25,0.0,1.2948210929619637
0.104858,700,10,0.10,263,56.36562384955639,3.5,1.25,0.0,1.6243108160414645
0.104858,800,10,0.10,276,61.39219910144343,4.0,1.25,0.0,1.3322338731891048
0.104858,900,10,0.10,235,54.69815239187357,3.75,1.0,0.0,1.400113782606683
0.104858,1000,10,0.10,157,55.407682893256606,4.25,0.25,0.0,1.6916710833191222
0.167772,100,10,0.10,247,56.43041062723289,4.75,1.0,0.0,1.9117311907672687
0.167772,200,10,0.10,161,55.93241513124208,3.5,0.25,0.0,1.6525405418037682
0.167772,300,10,0.10,158,56.6312366416115,5.0,0.25,0.0,1.5613736551879844
0.167772,400,10,0.10,204,55.95177161476256,4.25,0.75,0.0,1.627428138426494
0.167772,500,10,0.10,207,57.41419679703508,4.25,0.75,0.0,1.8004259119915909
0.167772,600,10,0.10,260,56.34166816224156,4.5,1.25,0.0,1.8578787367048568
0.167772,700,10,0.10,240,55.54866257762259,4.25,1.0,0.0,1.7199790555662875
0.167772,800,10,0.10,232,61.878803092915675,4.25,1.0,0.0,1.7464161419461977
0.167772,900,10,0.10,237,55.331138585675916,4.5,1.0,0.0,1.7204040382190633
0.167772,1000,10,0.10,232,56.9704617433108,3.0,1.0,0.0,1.3410210875208137
